detection,group
FcgRI,FcgRI
FcgRIIa,FcgRIIa
FcgRIIa.H131,FcgRIIa
FcgRIIa.R131,FcgRIIa
FcgRIIb,FcgRIIb
FcgRIIIa,FcgRIII
FcgRIIIa.F158,FcgRIII
FcgRIIIa.V158,FcgRIII
FcgRIIIb,FcgRIII
FcgRIIIb.NA1,FcgRIII
FcgRIIIb.SH,FcgRIII
IgG1,IgG1
IgG2,IgG2
IgG3,IgG3
IgG4,IgG4
# LCA,lectin
MBL,lectin
# PNA,lectin
# SNA,lectin
# VVL,lectin # high missingness > 0.8
C1q,C1q
IgG,IgG
