glycan,b,s,g,f
G2FB,b,false,g2,f
G2F,false,false,g2,f
G2B,b,false,g2,false
G1FB,b,false,g1,f
G1F,false,false,g1,f
G1B,b,false,g1,false
G0FB,b,false,g0,f
G1,false,false,g1,false
G0F,false,false,g0,f
G0B,b,false,g0,false
G2S1F,false,s,g2,f
G2S1B,b,s,g2,false
G2S1,false,s,g2,false
G1S1F,false,s,g1,f
G1S1,false,s,g1,false
G2S2FB,b,s,g2,f
G2S2F,false,s,g2,f
G2S2B,b,s,g2,false
G2S2,false,s,g2,false
G0.total,,,g0,
G1.total,,,g1,
G2.total,,,g2,
F.total,,,,f
B.total,b,,,
S.total,,s,,
