CMTF,PCA,missing
0.862221184,0.879787882,0.433848695
0.859955969,0.872353929,0.477647147
0.854423967,0.869352726,0.527702521
0.855655382,0.870924375,0.577757895
0.856222471,0.87013762,0.627813268
0.854955493,0.868255344,0.677868642
0.853408418,0.867333946,0.727924016
0.853085588,0.865197117,0.77797939
-1718.012955,0.859372486,0.828034763
0.848053295,0.852814661,0.878090137
0.841846397,0.842112203,0.903117824
0.227092025,0.842031309,0.915631668
0.835015539,0.815609009,0.928145511
-28.76968445,0.81976446,0.940659354
0.821646628,0.776772992,0.953173198
0.849389976,0.864697634,0.433848695
0.860365847,0.873551341,0.477647147
0.857685984,0.8724578,0.527702521
0.858501507,0.872395023,0.577757895
0.854344346,0.869169558,0.627813268
0.854378058,0.868974323,0.677868642
0.854799518,0.868392247,0.727924016
0.85379664,0.865483611,0.77797939
-199415.2558,0.859599684,0.828034763
0.848295206,0.855753745,0.878090137
0.84397615,0.845903303,0.903117824
0.842168927,0.840462906,0.915631668
0.832775213,0.836151388,0.928145511
0.835748421,0.820848343,0.940659354
0.74017217,0.774127337,0.953173198
