Class,Accuracy,Components
Viremic/Non-Viremic,0.7513812154696132,6
Four-Class,0.5193370165745856,6
Controller/Progressor,0.7292817679558011,6
Viremic/Non-Viremic,0.7348066298342542,6
Four-Class,0.5303867403314917,6
Controller/Progressor,0.7348066298342542,6
Viremic/Non-Viremic,0.7679558011049724,6
Four-Class,0.5359116022099447,6
Controller/Progressor,0.7403314917127072,6
Viremic/Non-Viremic,0.7624309392265194,6
Four-Class,0.4972375690607735,6
Controller/Progressor,0.7458563535911602,6
Viremic/Non-Viremic,0.7624309392265194,6
Four-Class,0.5082872928176796,6
Controller/Progressor,0.7458563535911602,6
Viremic/Non-Viremic,0.7513812154696132,6
Four-Class,0.5248618784530387,6
Controller/Progressor,0.7403314917127072,6
Viremic/Non-Viremic,0.7513812154696132,6
Four-Class,0.5193370165745856,6
Controller/Progressor,0.7458563535911602,6
Viremic/Non-Viremic,0.7624309392265194,6
Four-Class,0.49171270718232046,6
Controller/Progressor,0.712707182320442,7
Viremic/Non-Viremic,0.7071823204419889,7
Four-Class,0.4861878453038674,7
Controller/Progressor,0.7458563535911602,7
Viremic/Non-Viremic,0.7016574585635359,7
Four-Class,0.49171270718232046,7
Controller/Progressor,0.7292817679558011,7
Viremic/Non-Viremic,0.6961325966850829,7
Four-Class,0.49171270718232046,7
Controller/Progressor,0.7182320441988951,7
Viremic/Non-Viremic,0.7182320441988951,7
Four-Class,0.5082872928176796,7
Controller/Progressor,0.7016574585635359,7
Viremic/Non-Viremic,0.6906077348066298,7
Four-Class,0.5027624309392266,7
Controller/Progressor,0.7292817679558011,7
Viremic/Non-Viremic,0.7016574585635359,7
Four-Class,0.5027624309392266,7
Controller/Progressor,0.7237569060773481,7
Viremic/Non-Viremic,0.6906077348066298,7
Four-Class,0.5027624309392266,7
Controller/Progressor,0.7403314917127072,7
Viremic/Non-Viremic,0.7292817679558011,7
Four-Class,0.5248618784530387,7
Controller/Progressor,0.7237569060773481,7
Viremic/Non-Viremic,0.7071823204419889,7
Four-Class,0.5193370165745856,7
Controller/Progressor,0.7016574585635359,7
Viremic/Non-Viremic,0.6961325966850829,7
Four-Class,0.4972375690607735,7
Controller/Progressor,0.6906077348066298,8
Viremic/Non-Viremic,0.7569060773480663,8
Four-Class,0.5138121546961326,8
Controller/Progressor,0.7071823204419889,8
Viremic/Non-Viremic,0.7900552486187845,8
Four-Class,0.5524861878453039,8
Controller/Progressor,0.6961325966850829,8
Viremic/Non-Viremic,0.7569060773480663,8
Four-Class,0.5303867403314917,8
Controller/Progressor,0.6906077348066298,8
Viremic/Non-Viremic,0.7734806629834254,8
Four-Class,0.574585635359116,8
Controller/Progressor,0.7237569060773481,8
Viremic/Non-Viremic,0.7679558011049724,8
Four-Class,0.5524861878453039,8
Controller/Progressor,0.7237569060773481,8
Viremic/Non-Viremic,0.7624309392265194,8
Four-Class,0.5414364640883977,8
Controller/Progressor,0.6961325966850829,8
Viremic/Non-Viremic,0.7569060773480663,8
Four-Class,0.5303867403314917,8
Controller/Progressor,0.6961325966850829,8
Viremic/Non-Viremic,0.7458563535911602,8
Four-Class,0.5414364640883977,8
Controller/Progressor,0.7071823204419889,8
Viremic/Non-Viremic,0.7790055248618785,8
Four-Class,0.5359116022099447,8
Controller/Progressor,0.6906077348066298,8
